20190323 18:31:51,0,8*8,Human,Computer,2 : 2
20190323 18:36:11,0,8*8,Human,Computer,2 : 2
20190323 18:36:28,0,16*16,Human,Computer,2 : 2
20190323 18:36:55,0,8*8,Human,Computer,2 : 2
20190323 18:43:00,0,4*4,Human,Computer,2 : 2
20190323 18:46:32,0,4*4,Human,Computer,2 : 2
20190323 21:00:24,11,4*4,Computer,Human,2 : 11
20190323 21:03:47,18,4*4,Computer,Human,2 : 11
20190323 21:04:29,6,4*4,Computer,Human,Human gave up
20190323 21:05:50,8,4*4,Computer,Human,Human gave up
20190323 21:30:43,20,4*4,Computer,Human,2 : 11
20190323 21:34:24,68,8*8,Computer,Human,Human gave up
